"Source","Target","Classification","Status"
"C:\Users\chine\Projects\proagentic-dfx\ARIA_CHANGES_DETAILED.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\ARIA_CHANGES_DETAILED.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\IMPLEMENTATION-SUMMARY-REQ251-255.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\IMPLEMENTATION-SUMMARY-REQ251-255.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\IMPLEMENTATION_REQ-197-202.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\IMPLEMENTATION_REQ-197-202.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\MOCK_SERVER_GAP_ANALYSIS_REPORT.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\MOCK_SERVER_GAP_ANALYSIS_REPORT.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\REQUIREMENTS_ALIGNMENT_GAP_ANALYSIS.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\REQUIREMENTS_ALIGNMENT_GAP_ANALYSIS.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\SCF_IMPLEMENTATION_VERIFICATION.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\SCF_IMPLEMENTATION_VERIFICATION.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\WCAG_ARIA_IMPROVEMENTS_SUMMARY.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\WCAG_ARIA_IMPROVEMENTS_SUMMARY.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\MOCK_SERVER_SUMMARY.md","C:\Users\chine\Projects\proagentic-dfx\docs\explanation\MOCK_SERVER_SUMMARY.md","explanation","Moved"
"C:\Users\chine\Projects\proagentic-dfx\README_PROAGENTIC_DFX.md","C:\Users\chine\Projects\proagentic-dfx\docs\explanation\README_PROAGENTIC_DFX.md","explanation","Moved"
"C:\Users\chine\Projects\proagentic-dfx\HANDOVER.md","C:\Users\chine\Projects\proagentic-dfx\docs\runbook\HANDOVER.md","runbook","Moved"
"C:\Users\chine\Projects\proagentic-dfx\MOCK_SERVER_ACTION_ITEMS.md","C:\Users\chine\Projects\proagentic-dfx\docs\runbook\MOCK_SERVER_ACTION_ITEMS.md","runbook","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\DETAILED_GAP_ANALYSIS.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\DETAILED_GAP_ANALYSIS.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\ENTERPRISE_GAP_ANALYSIS.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\ENTERPRISE_GAP_ANALYSIS.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\HARDCODED_MOCK_DATA_VIOLATIONS.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\HARDCODED_MOCK_DATA_VIOLATIONS.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\RTM_REVIEW_REPORT.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\RTM_REVIEW_REPORT.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\MOCK_SERVER_ARCHITECTURE_REVIEW.md","C:\Users\chine\Projects\proagentic-dfx\docs\explanation\MOCK_SERVER_ARCHITECTURE_REVIEW.md","explanation","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\MULTI-DOMAIN-ARCHITECTURE.md","C:\Users\chine\Projects\proagentic-dfx\docs\explanation\MULTI-DOMAIN-ARCHITECTURE.md","explanation","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\DEPLOYMENT.md","C:\Users\chine\Projects\proagentic-dfx\docs\runbook\DEPLOYMENT.md","runbook","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\ENTERPRISE_ACTION_PLAN.md","C:\Users\chine\Projects\proagentic-dfx\docs\runbook\ENTERPRISE_ACTION_PLAN.md","runbook","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\implementation\CHARTS_IMPLEMENTATION_SUMMARY.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\CHARTS_IMPLEMENTATION_SUMMARY.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\implementation\MATERIALS_COMPLIANCE_IMPLEMENTATION.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\MATERIALS_COMPLIANCE_IMPLEMENTATION.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\implementation\REQUIREMENTS_SCREEN_ENHANCEMENTS.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\REQUIREMENTS_SCREEN_ENHANCEMENTS.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\analysis\rtm\DUPLICATE_ACTION_PLAN.md","C:\Users\chine\Projects\proagentic-dfx\docs\explanation\rtm\DUPLICATE_ACTION_PLAN.md","explanation","Moved"
