Req_ID,Category,Source_Doc,Source_Section,Requirement_Description,User_Journey_Phase,UI_Element_Needed,Acceptance_Criteria,Priority,Status_in_Frontend_Plan,Enterprise_Ready,Notes
ENT-001,UI-Global,Enterprise-Audit,Header,"Application header with branding, user profile, and global actions",All,Fixed header bar with logo/title/user/help/search,"Header visible on all screens; Logo clickable; User menu accessible; Help button opens panel; Global search functional",P0,Gap,No,CRITICAL - Application looks unfinished without header
ENT-002,UI-Global,Enterprise-Audit,Branding,"Correct application name and branding throughout",All,Title tag + sidebar + header + footer,"All instances show correct app name; Consistent branding; Logo displayed correctly",P0,Gap,No,CRITICAL - Wrong name shows 'H2 Tank Designer'
ENT-003,UI-Global,Enterprise-Audit,Persistence,"Auto-save all user work to prevent data loss",All,Auto-save indicator with timestamp,"Work auto-saved every 30s; Visual indicator shows save status; Recovery after browser close; Manual save option",P0,Gap,No,CRITICAL - Users lose all work on refresh
ENT-004,UI-Global,Enterprise-Audit,Persistence,"Session recovery after crash or accidental close",All,Recovery dialog on restart,"Prompt to recover previous session; Last 5 sessions stored; Clear recovery option",P0,Gap,No,CRITICAL - No crash recovery
ENT-005,UI-Global,Enterprise-Audit,Undo,"Undo/redo system for all user actions",All,Toolbar buttons + keyboard shortcuts,"Ctrl+Z undoes last action; Ctrl+Y redoes; 50+ action history; Visual history panel available",P0,Gap,No,CRITICAL - Cannot reverse mistakes
ENT-006,UI-Global,Enterprise-Audit,Help,"Help system integrated and accessible",All,Help button in header + F1 shortcut,"F1 opens help panel; Help icon in header works; HelpProvider mounted in Layout",P0,Gap,No,CRITICAL - Help system exists but not integrated
ENT-007,UI-Global,Enterprise-Audit,Help,"Context-sensitive help icons on all form fields",All,HelpIcon component next to each input,"Every input has help icon; Clicking shows relevant help; Tooltips explain field purpose",P1,Gap,No,HIGH - No contextual help on forms
ENT-008,UI-Global,Enterprise-Audit,Keyboard,"Complete keyboard navigation (WCAG 2.1 AA)",All,Focus indicators + tab order,"Tab navigates all elements; Focus visible; Escape closes modals; Enter activates buttons",P0,Gap,No,CRITICAL - Mouse-only interaction
ENT-009,UI-Global,Enterprise-Audit,Keyboard,"Keyboard shortcuts for power users",All,Shortcut hints + customization panel,"Common shortcuts documented; Customizable bindings; Shortcut hints in tooltips",P1,Gap,No,HIGH - No shortcuts
ENT-010,UI-Global,Enterprise-Audit,Accessibility,"Screen reader compatibility (WCAG 2.1 AA)",All,ARIA labels + live regions,"All interactive elements have ARIA labels; Dynamic content announced; Images have alt text",P0,Gap,No,CRITICAL - Legal requirement
ENT-011,UI-Global,Enterprise-Audit,Errors,"Error boundaries prevent app crashes",All,Error boundary components,"Errors contained to component; Friendly error message shown; Recovery option provided; Error logged",P0,Gap,No,CRITICAL - JS errors crash entire app
ENT-012,UI-Global,Enterprise-Audit,Errors,"User-friendly error messages with actions",All,Error toast/modal components,"Technical errors translated; Suggested actions provided; Support contact shown; Retry available",P1,Gap,No,HIGH - Raw errors confuse users
ENT-013,UI-Global,Enterprise-Audit,Loading,"Skeleton loaders for content areas",All,Skeleton components matching content shape,"Skeletons match expected content; Animate to indicate loading; 200ms delay before showing",P1,Gap,No,HIGH - Basic 'Loading...' text only
ENT-014,UI-Global,Enterprise-Audit,Loading,"Progress indicators for long operations",All,Progress bar with time estimate,"Progress bar shows percentage; Time remaining estimated; Cancel option for long ops",P1,Gap,No,HIGH - No progress feedback
ENT-015,UI-Global,Enterprise-Audit,Theme,"Dark mode support with system preference detection",All,Theme toggle + prefers-color-scheme,"Toggle in settings; System preference detected; Theme persisted; All components styled for both",P2,Gap,No,MEDIUM - Light only
ENT-016,UI-Global,Enterprise-Audit,Responsive,"Responsive layout for 1024px minimum",All,CSS Grid/Flexbox breakpoints,"Layout adapts to 1024px; No horizontal scroll; Touch-friendly on tablet; Sidebar collapses",P1,Gap,No,HIGH - Desktop-only assumed
ENT-017,UI-Requirements,Enterprise-Audit,Chat,"Chat panel properly scrolls and expands",1-Requirements,Auto-scroll + resize handle,"Chat scrolls to latest message; Expandable/collapsible; Resize handle works; History preserved",P0,Gap,No,CRITICAL - Chat doesn't scroll properly
ENT-018,UI-Requirements,Enterprise-Audit,Versioning,"Requirements version history with diff view",1-Requirements,Version dropdown + diff panel,"Save versions manually; View version history; Compare versions; Restore old version",P1,Gap,No,HIGH - No version control
ENT-019,UI-Requirements,Enterprise-Audit,Templates,"Predefined requirement templates for common applications",1-Requirements,Template selector dropdown,"5+ templates available; Quick-fill from template; Edit after selection",P1,Gap,No,HIGH - Start from scratch only
ENT-020,UI-Requirements,Enterprise-Audit,Confidence,"Confidence indicators for AI-parsed requirements",1-Requirements,Confidence badges per field,"Each field shows confidence %; Low confidence highlighted; Explanation available",P1,Gap,No,HIGH - No parsing confidence
ENT-021,UI-Requirements,Enterprise-Audit,Validation,"Real-time validation against standards",1-Requirements,Validation status indicators,"Red/yellow/green status per field; Validation rules explained; Auto-fix suggestions",P1,Gap,No,HIGH - No validation feedback
ENT-022,UI-Requirements,Enterprise-Audit,Export,"Export requirements to common formats",1-Requirements,Export dropdown (PDF/Excel/JSON),"Export to PDF; Export to Excel; Export to JSON; Include all parsed data",P2,Gap,No,MEDIUM - No export
ENT-023,UI-Requirements,Enterprise-Audit,Import,"Import requirements from files",1-Requirements,Import button + file picker,"Import from Excel; Import from JSON; Validate on import; Map columns",P2,Gap,No,MEDIUM - No import
ENT-024,UI-Pareto,Enterprise-Audit,3D,"3D Pareto visualization for 3+ objectives",4-Results,Three.js 3D scatter plot,"3D rendering with rotation; Axis selection dropdowns; Interactive point selection",P1,Gap,No,HIGH - 2D only
ENT-025,UI-Pareto,Enterprise-Audit,Custom,"Custom axis selection for Pareto plot",4-Results,Axis dropdown menus,"All metrics available as axes; Save axis preferences; Swap axes easily",P1,Gap,No,HIGH - Fixed axes
ENT-026,UI-Pareto,Enterprise-Audit,Filter,"Filter Pareto designs by constraints",4-Results,Filter panel with sliders/checkboxes,"Filter by any metric range; Filter by compliance status; Clear filters button",P1,Gap,No,HIGH - No filtering
ENT-027,UI-Pareto,Enterprise-Audit,Export,"Export selected designs from Pareto chart",4-Results,Export selection button,"Export selected designs; Choose export format; Include comparison data",P2,Gap,No,MEDIUM - No export
ENT-028,UI-Viewer,Enterprise-Audit,Measurement,"Functional measurement tools (distance angle radius)",3-Visualization,Measurement toolbar with active tools,"Click two points for distance; Click three points for angle; Measure radius; Show units",P0,Gap,No,CRITICAL - Measurement buttons are placeholders
ENT-029,UI-Viewer,Enterprise-Audit,Geometry,"True isotensoid dome geometry (not spherical)",3-Visualization,Correct lathe profile from dome equation,"Dome profile matches isotensoid curve; Parameters displayed; Equation shown",P0,Gap,No,CRITICAL - Current domes are spherical
ENT-030,UI-Viewer,Enterprise-Audit,Geometry,"Boss geometry with thread profiles",3-Visualization,Thread detail geometry at boss,"Thread profile visible; Thread spec shown; Cutaway reveals threads",P1,Gap,No,HIGH - Boss is solid cylinder
ENT-031,UI-Viewer,Enterprise-Audit,Views,"Standard view buttons (front/top/right/iso)",3-Visualization,View toolbar with preset buttons,"One-click standard views; Keyboard shortcuts (1-6); Smooth transition animation",P1,Gap,No,HIGH - Manual rotation only
ENT-032,UI-Viewer,Enterprise-Audit,Views,"View cube orientation widget",3-Visualization,Interactive view cube in corner,"Click cube faces for views; Drag for rotation; Shows current orientation",P1,Gap,No,HIGH - No orientation reference
ENT-033,UI-Viewer,Enterprise-Audit,Dimensions,"Dimension annotations with GD&T",3-Visualization,Dimension callouts on geometry,"Key dimensions shown; Tolerances displayed; Click to edit; Toggle visibility",P1,Gap,No,HIGH - No dimensions
ENT-034,UI-Viewer,Enterprise-Audit,Export,"Screenshot export to PNG/PDF",3-Visualization,Screenshot button with options,"Export current view; Choose resolution; Transparent background option; Add title",P2,Gap,No,MEDIUM - No export
