Req_ID,Category,Source_Doc,Source_Section,Requirement_Description,User_Journey_Phase,UI_Element_Needed,Data_Required,Backend_Capability,Priority,Status_in_Frontend_Plan,Screen_Location,API_Endpoint,Mock_Server_Status,Data_Mode
REQ-001,Input,Doc-08,Phase 1,Parse natural language requirements into structured constraints,1-Requirements,Text input with AI parsing,NL text → structured JSON,Internal LLM parsing,P1,Addressed,Screen 1: Requirements Input,POST /api/requirements/parse,Addressed,Both
REQ-002,Input,Doc-08,Phase 1,Decode pressure specification (working vs burst),1-Requirements,Clarification display,Pressure type interpretation,Rule engine,P1,Addressed,Screen 1: Parsed Requirements,POST /api/requirements/parse,Addressed,Both
REQ-003,Input,Doc-08,Phase 1,Standards lookup and cross-reference,1-Requirements,Standards list with requirements,Standards database query,Standards DB,P1,Addressed,Screen 1: Applicable Standards,GET /api/standards,Addressed,Static
REQ-004,Input,Doc-08,Phase 1,Calculate derived requirements (test pressure burst pressure cycle life),1-Requirements,Derived requirements display,Calculation results,Physics engine,P1,Addressed,Screen 1: Derived Requirements Table,POST /api/requirements/parse,Addressed,Both
REQ-005,Input,Doc-08,Phase 1,Temperature range determination from application,1-Requirements,Temperature range display,Application → temp mapping,Lookup table,P2,Addressed,Screen 1: Derived Requirements Table,POST /api/requirements/parse,Addressed,Static
REQ-006,Input,Doc-08,Phase 1,Fire resistance requirements identification,1-Requirements,Fire test requirements,Standards extraction,Standards DB,P2,Addressed,Screen 1: Derived Requirements Table,POST /api/requirements/parse,Addressed,Static
REQ-007,Concept,Doc-08,Phase 2,Tank type selection with rationale,2-Concept,Tank type cards with comparison,Type comparison data,tank_type_router,P1,Addressed,Screen 2: Tank Type Recommendation,POST /api/tank-type/recommend,Addressed,Both
REQ-008,Concept,Doc-08,Phase 2,Tank type feasibility check (weight/volume ratio),2-Concept,Feasibility indicators,Feasibility calculation,Physics engine,P1,Addressed,Screen 2: Type Comparison Table,POST /api/tank-type/recommend,Addressed,Both
REQ-009,Concept,Doc-09,Level 2.1,Type V consideration and trade-offs,2-Concept,Type V option with caveats,Type V certification status,Knowledge base,P2,Addressed,Screen 2: Type Comparison + Why Not buttons,POST /api/tank-type/recommend,Addressed,Static
REQ-010,Concept,Doc-09,Level 2.2,Hybrid fiber layup exploration (carbon/glass),2-Concept,Hybrid material option,Hybrid cost/weight analysis,material_router,P2,Addressed,Screen 2: Fiber Material Alternatives,GET /api/materials,Addressed,Static
REQ-011,Materials,Doc-08,Phase 2,Fiber material selection with properties,2-Concept,Material selector with specs,Material database,material_router,P1,Addressed,Screen 2: Materials Section,GET /api/materials,Addressed,Static
REQ-012,Materials,Doc-08,Phase 2,Matrix material selection,2-Concept,Matrix selector,Matrix properties,material_router,P1,Addressed,Screen 2: Materials Section,GET /api/materials,Addressed,Static
REQ-013,Materials,Doc-08,Phase 2,Liner material selection with permeation data,2-Concept,Liner selector with permeation,Liner permeability data,material_router,P1,Addressed,Screen 2: Materials Section,GET /api/materials,Addressed,Static
REQ-014,Materials,Doc-08,Phase 2,Boss material selection (corrosion consideration),2-Concept,Boss selector,Corrosion compatibility,material_router,P1,Addressed,Screen 2: Materials Section,GET /api/materials,Addressed,Static
REQ-015,Materials,Doc-09,3.1,Display material properties table (E1 E2 G12 nu12 strengths),2-Concept,Material properties table,Full material data,Material DB,P1,Addressed,Screen 2: Material Properties Table,GET /api/materials,Addressed,Static
